OBID,Date,F_Scale,Injuries,Fatalities,Loss,Starting_Lat,Starting_Long,End_Lat,End_Long,Length_mi,Width_yds
20183,1/11/80,0,0,0,5,41.57,-83.63,41.57,-83.63,0.3,40
20184,1/14/80,1,1,0,5,37.48,-121.88,37.48,-121.88,0.3,67
20185,1/23/80,0,0,0,3,29.83,-85.3,29.83,-85.3,0.3,17
20186,1/23/80,0,0,0,4,30.03,-82.67,30.03,-82.67,0.1,10
20187,1/28/80,0,0,0,3,33.88,-118.3,33.88,-118.3,0.4,10
20188,2/7/80,1,0,0,5,34.4,-102.85,34.5,-102.32,31.1,10
20189,2/15/80,0,0,0,4,36.55,-119.38,36.55,-119.38,1,10
20190,2/17/80,0,0,0,4,26.08,-81.75,26.08,-81.75,1,10
20191,2/19/80,1,2,0,6,36.77,-119.72,36.77,-119.72,1.7,10
20192,2/20/80,1,0,0,4,32.78,-117.2,32.78,-117.2,0.1,10
20193,2/23/80,0,0,0,2,36.4,-76.93,36.4,-76.93,0.1,10
20194,2/23/80,0,0,0,0,35.62,-77.6,35.62,-77.6,0.1,10
20195,2/24/80,1,0,0,4,29.65,-81.6,29.65,-81.6,1,10
20196,2/25/80,0,0,0,4,30.05,-83.17,30.05,-83.17,0.5,10
20197,2/25/80,0,0,0,2,35.02,-78.57,35.02,-78.57,0.1,10
20198,2/29/80,1,0,0,0,30.52,-97.53,30.43,-97.38,11,43
20199,3/1/80,3,33,1,7,26.17,-80.17,26.25,-80.08,7.8,500
20200,3/1/80,1,0,0,6,26.33,-80.08,26.33,-80.08,0.5,33
20201,3/7/80,1,0,0,4,30.9,-89.45,30.9,-89.45,0.3,30
20202,3/7/80,1,0,0,3,32.73,-89.07,32.73,-89.07,0.2,30
20203,3/7/80,1,0,0,3,35.67,-83.77,35.67,-83.77,0.1,20
20204,3/8/80,1,0,0,3,32.97,-87.08,33.02,-87,6.1,73
20205,3/8/80,2,5,0,5,31.2,-85.63,31.23,-85.37,16,40
20206,3/8/80,1,6,0,5,32.75,-81.25,32.75,-81.25,1,30
20207,3/10/80,1,0,0,4,30,-81.92,30,-81.92,0.5,33
20208,3/10/80,1,0,0,4,30.25,-81.75,30.25,-81.75,0.3,20
20209,3/17/80,1,0,0,4,31.6,-95.07,31.63,-94.88,12,33
20210,3/17/80,1,0,0,4,31.7,-87.78,31.7,-87.78,0.2,50
20211,3/17/80,0,0,0,5,29.17,-91.1,29.17,-91.1,2,33
20212,3/17/80,1,0,0,3,31.65,-87.7,31.65,-87.7,0.5,50
20213,3/17/80,1,0,0,4,31.77,-84.8,31.77,-84.8,0.2,50
20214,3/17/80,1,0,0,4,32.68,-82.52,32.68,-82.52,2,83
20215,3/18/80,1,0,0,3,41.55,-76.78,41.55,-76.78,0.3,13
20216,3/20/80,1,0,0,2,19.7,-155.1,19.7,-155.1,1,10
20217,3/20/80,1,0,0,5,32.75,-91.4,32.92,-91.17,18,33
20218,3/20/80,1,1,0,5,33.03,-90.87,33.03,-90.87,0.5,30
20219,3/20/80,1,0,1,4,33.57,-88.5,33.57,-88.5,0.1,17
20220,3/20/80,1,0,0,0,33.42,-87.2,33.42,-87.2,0.1,50
20221,3/20/80,2,6,0,5,33.17,-86.25,33.2,-86.2,3.8,50
20222,3/21/80,1,0,0,4,32.9,-84.35,32.9,-84.35,2,67
20223,3/21/80,1,2,0,6,32.45,-83.93,32.55,-83.58,22.5,100
20224,3/21/80,1,0,0,5,32.33,-83.68,32.35,-83.32,22.2,67
20225,3/21/80,1,1,0,4,32.83,-83.07,32.83,-83.07,0.2,67
20226,3/23/80,0,0,0,2,35.4,-97.5,35.4,-97.5,0.1,10
20227,3/23/80,0,0,0,0,35.62,-96.3,35.62,-96.3,0.1,10
20228,3/24/80,2,2,0,5,35.85,-86.38,35.87,-86.35,1.9,150
20229,3/24/80,1,0,0,5,36.27,-77.28,36.27,-77.28,1.2,150
20230,3/25/80,1,0,0,2,38.62,-102.7,38.65,-102.67,0.1,50
20231,3/27/80,0,0,0,1,34.32,-102.13,34.32,-102.13,1,20
20232,3/27/80,0,0,0,1,34.57,-102.12,34.6,-102.07,3.8,10
20233,3/27/80,0,0,0,1,32.22,-100.97,32.22,-100.97,2,10
20234,3/27/80,1,0,0,2,33.5,-101.02,33.57,-100.82,13.9,50
20235,3/27/80,1,0,0,1,33.77,-101.02,33.77,-101.02,1,20
20236,3/28/80,1,1,0,4,30.97,-87.43,30.97,-87.43,0.3,20
20237,3/28/80,1,0,0,4,30.75,-87.17,30.78,-87.13,3.3,33
20238,3/29/80,0,0,0,0,32.28,-95.47,32.28,-95.47,0.1,10
20239,3/31/80,2,0,0,3,34.65,-99.27,34.65,-99.27,0.2,10
20240,4/2/80,4,0,0,0,33.6,-99.18,33.68,-99.08,8.4,250
